============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,Email-Enron.txt,,,,,,,,,,,,
SMd,SMt,0.0192,0.1489,29.1,wiki-Vote.txt,,,,,,,,,,,,
SMd,SMt,0.0049,0.3579,19.3,Gowalla_edges.txt,,,,,,,,,,,,
SMd,SMt,0.0281,0.0887,43.7,facebook.txt,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
06-26_01-36_, wiki-Vote.txt,40%, kc=0.4 ,,,,-37.098, SMt,6.307,1.425,0.394,,,,,,
06-26_01-36_, wiki-Vote.txt,19%, kc=0.2 ,,,,-77.172, SMt,25.944,1.781,0.2,,E,-120.97,64.102,0.512,0.21
06-26_01-37_, Email-Enron.txt,59%, kc=0.6 ,,,,-31.38, SMt,5.992,0.79,0.622,,,-63.8,10.775,0.731,0.208
06-26_01-37_, Email-Enron.txt,39%, kc=0.4 ,,,,-69.891, SMt,13.741,0.713,0.421,,,,,,
06-26_01-37_, Email-Enron.txt,19%, kc=0.2 ,,,,-120.97, SMt,64.102,0.512,0.21,,,,,,
,,,,,,,,,,,,,,,,,
06-26_01-42_, Gowalla_edges.txt,100%, kc=0.6 ,,,,40.49, SMt,0.738,0.66,0.58,,,,,,
06-26_01-45_, Gowalla_edges.txt,100%, kc=0.4 ,,,,-84.086, SMt,1.114,0.684,0.387,,,,,,
06-26_01-47_, Gowalla_edges.txt,100%, kc=0.2 ,,,,-206.66, SMt,2.244,0.671,0.193,,,,,,
06-26_01-47_, wiki-Vote.txt,100%, kc=0.6 ,,,,-11.645, SMt,1.656,0.945,0.601,,,,,,
06-26_01-47_, wiki-Vote.txt,100%, kc=0.4 ,,,,-16.944, SMt,2.482,1.011,0.402,,,,,,
06-26_01-47_, wiki-Vote.txt,100%, kc=0.2 ,,,,-30.866, SMt,4.91,1.312,0.201,,,,,,
06-26_01-48_, Email-Enron.txt,100%, kc=0.6 ,,,,10.167, SMt,3.551,0.765,0.622,,,,,,
06-26_01-48_, Email-Enron.txt,100%, kc=0.4 ,,,,-25.891, SMt,5.321,0.782,0.415,,,,,,
06-26_01-48_, Email-Enron.txt,100%, kc=0.2 ,,,,-63.8, SMt,10.775,0.731,0.208,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
06-26_02-14_, facebook_combined.txt,31%, kc=0.6 ,,,,2.16, SMt,4.542,0.883,0.67,,,,,,
06-26_02-14_, facebook_combined.txt,23%, kc=0.4 ,,,,5.037, SMt,4.148,0.881,0.727,,,,,,
06-26_02-14_, facebook_combined.txt,17%, kc=0.2 ,,,,4.218, SMt,6.677,1.033,0.468,,,,,,
06-26_02-18_, facebook_combined.txt,28%, kc=0.6 ,,,,3.309, SMt,4.066,0.862,0.669,,,,,,
06-26_02-18_, facebook_combined.txt,24%, kc=0.4 ,,,,7.189, SMt,3.44,0.8,0.795,,,,,,
06-26_02-18_, facebook_combined.txt,12%, kc=0.2 ,,,,7.375, SMt,5.841,1.183,0.49,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=========================================================== RSS SS RN RE SBS,,,,,,,,,,,,,,,,,
